id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,375048,UNIT,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,269002,UNIT,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,250808,UNIT,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,353277,UNIT,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,259141,UNIT,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,188068,UNIT,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,139719,UNIT,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,94885,UNIT,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,252604,UNIT,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,156841,UNIT,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,116203,UNIT,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,191046,UNIT,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,169778,UNIT,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,87246,UNIT,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,233606,UNIT,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,231042,UNIT,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,156287,UNIT,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,60293,UNIT,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,86406,UNIT,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,39982,UNIT,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,343938,UNIT,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,40224,UNIT,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,203056,UNIT,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,162388,UNIT,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,56910,UNIT,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,91113,UNIT,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,25896,UNIT,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,398253,UNIT,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,285646,UNIT,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,266326,UNIT,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,375135,UNIT,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,275175,UNIT,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,199704,UNIT,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,148364,UNIT,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,100756,UNIT,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,268233,UNIT,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166545,UNIT,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,123393,UNIT,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,202866,UNIT,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,180283,UNIT,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,92644,UNIT,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,248060,UNIT,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,245337,UNIT,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,165957,UNIT,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,64023,UNIT,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,91752,UNIT,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,42456,UNIT,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,365218,UNIT,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,42713,UNIT,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,215620,UNIT,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,172435,UNIT,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,60431,UNIT,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96750,UNIT,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,27498,UNIT,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,422894,UNIT,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,303319,UNIT,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,282804,UNIT,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,398346,UNIT,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,292200,UNIT,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,212060,UNIT,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,157543,UNIT,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,106990,UNIT,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,284829,UNIT,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,176850,UNIT,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,131027,UNIT,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,215418,UNIT,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,191437,UNIT,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,98376,UNIT,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,263408,UNIT,2018
