id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,6,UNIT USAHA,2021
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT USAHA,2021
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT USAHA,2021
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,UNIT USAHA,2021
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT USAHA,2021
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,UNIT USAHA,2021
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT USAHA,2021
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT USAHA,2021
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT USAHA,2021
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT USAHA,2021
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2,UNIT USAHA,2021
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT USAHA,2021
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT USAHA,2021
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT USAHA,2021
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT USAHA,2021
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT USAHA,2021
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT USAHA,2021
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT USAHA,2021
19,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT USAHA,2021
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT USAHA,2021
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,UNIT USAHA,2021
22,32,JAWA BARAT,3274,KOTA CIREBON,0,UNIT USAHA,2021
23,32,JAWA BARAT,3275,KOTA BEKASI,1,UNIT USAHA,2021
24,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT USAHA,2021
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,UNIT USAHA,2021
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,UNIT USAHA,2021
27,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT USAHA,2021
